id,sku,name,brand,brand_type,dimension17,dimension18,dimension19,dimension20,country,price,currency,old_price,category_type,url,images,type,volume,main_product_sku,main_product_id,best_loyality_price,dimension29,dimension28,description,product_usage,product_composition,category,category_ru
210083,10690-19000055975,Panty Menta,MiNiMi,standard,Трусы,Женский,,,Италия,355,,355,Трусы ,https://goldapple.ru/10690-19000055975-panty-menta,['https://goldapple.ru/media/catalog/product/8/0/8000000752581_1_kiipzxdnchntw9ki.jpg'],configurable,44,19000055976,210084,,False,True,"Шортики выполнены из мягкой тянущейся микрофибры. Широкая комфортная резинка по талии обеспечивает надежную посадку. Отсутствие эластиков по ножкам создает дополнительный комфорт при носке. Внутренняя деталь ластовицы выполнена из гипоаллергенного хлопка. Современные бесшовные технологии и материалы позволяют изделию идеально облегать тело, не оставляя следов от боковых швов, создавая максимальный комфорт при активной жизни и во время отдыха.","90% Нейлон, 10% Эластан",,nizhnee-bel-jo,нижнее бельё
162264,19000005488,№4 ,SVEJO,standard,Автопарфюм,Унисекс,,,Россия,133,,133,Парфюмированный ароматизатор (на картонной подложке),https://goldapple.ru/19000005488-no4,"['https://goldapple.ru/media/catalog/product/4/6/4603785776113_1_gipjzgigvsn2gk7k.jpg', 'https://goldapple.ru/media/catalog/product/4/6/4603785776113_2_u9imedojupprzsjl.jpg', 'https://goldapple.ru/media/catalog/product/4/6/4603785776113_3_2eobrj9izjthg6ul.jpg']",simple,1,19000005488,162264,,False,False,"Композиция на основе французских масел с мягкими нотами кедра и сандала, которые оттеняют специи, корица и яблоко.",Извлеките ароматизатор из упаковки и поместите в удобном для вас месте. Картонные ароматизаторы можно положить на полку шкафа или в выдвижной ящик комода. Ароматизаторы во флаконе подойдут для больших помещений или салона автомобиля.,"Парфюмерная композиция на основе французских масел, высококапиллярный картон",parfjumerija,парфюмерия
185463,19000027747,C-VIT,Sesderma,standard,Подарочные наборы,Унисекс,,Лицо,Испания,6993,,6993,Подарочный набор,https://goldapple.ru/19000027747-c-vit,"['https://goldapple.ru/media/catalog/product/8/4/8429979468932_1_7nnp76pbw4m678dh.jpg', 'https://goldapple.ru/media/catalog/product/8/4/8429979468932_2_aeajpwnmyzrvvlw5.jpg', 'https://goldapple.ru/media/catalog/product/8/4/8429979468932_3_dedlxmfeajwjm3v2.jpg']",simple,,19000027747,185463,,False,False,"C-VIT – Сыворотка липосомальная с витамином С, 30 мл.","SESDERMA - испанская дерматологическая лаборатория, основанная в 1989 году доктором Габриэлем Серрано, всемирно известным дерматологом. В SESDERMA занимаются исследованиями, разработкой и производством дерматологических, медицинских и нано-нутрицевтических продуктов в собственных узкоспециализированных лабораториях.",,zdorov-e-i-apteka,здоровье и аптека
90924,24021000002,BOOST POWDER,AMERICAN CREW,standard,Пудра,Мужской,,,США,1453,,1453,Пудра для объема волос,https://goldapple.ru/24021000002-boost-powder,"['https://goldapple.ru/media/catalog/product/7/3/738678250013_1_q5hiy8xbetktlbbk.jpg', 'https://goldapple.ru/media/catalog/product/7/3/738678250013_2_jov3p6yi1w3saa3u.jpg', 'https://goldapple.ru/media/catalog/product/7/3/738678250013_3_8rfgezddacpeu7mq.jpg']",simple,10,24021000002,90924,,False,False,"Пудра для объёма волос прекрасно подходит для тонких, вьющихся и непослушных волос. Данный продукт компании Американ Крю поможет не только придать впечатляющий объём волосам, но и наделить их особым и красивым матовым блеском. Boost Powder обеспечивает хорошую фиксацию волос, при этом не осушая их и защищая от агрессивного воздействия внешних факторов, приподнимает волосы, благодаря чему ваша причёска остаётся именно такой, как вы задумали.","Небольшое количество пудры American Crew Boost Powder нужно нанести на сухие или слегка увлажнённые волосы, при этом перед применением упаковку с пудрой следует несколько раз встряхнуть. Далее следует убедиться в том, что средство попало на корни волос для придания им максимального объёма.",,dlja-muzhchin,для мужчин
198227,19000048760,Лимон-лайм ,Fit Kit,standard,Снэки,Унисекс,Здоровое питание,,Россия,70,,70,Протеиновое печенье,https://goldapple.ru/19000048760-limon-lajm,"['https://goldapple.ru/media/catalog/product/4/6/4631145996840_1_f2yby8hesnhy5par.jpg', 'https://goldapple.ru/media/catalog/product/4/6/4631145996840_2_yt5c5fqd4wonbaox.jpg', 'https://goldapple.ru/media/catalog/product/4/6/4631145996840_3_u4jhmzmsa5ibskdw.jpg']",simple,40,19000048760,198227,,False,False,Protein Cookie - это протеиновое печенье от производителя спортивного питания компании,"Cмесь белков (концентрат молочного белка, концентрат сывороточного белка), растворимые кукурузные волокна, изомальтоолигосахарид, вода, кокосовое масло, глицерин, разрыхлитель, сукралоза, ароматизатор идентичный натуральному, сорбат калия, мармеладные кусочки без добавления сахара (идентичные вкусу). Может содержать следы арахиса.","Мы - FIT KIT. Команда единомышленников, работающих день и ночь, чтобы тебе было вкусно, сладко и максимально полезно. О наших кейках и печеньках уже слагают легенды, советуем не тянуть и поскорее попробовать их!",lajfstajl,лайфстайл
216350,19000062755,AHA BHA PHA 30 DAYS MIRACLE TONER mini,SOME BY MI,standard,Тонер,Женский,Очищение,Лицо,Южная Корея,677,,1042,Тонер ,https://goldapple.ru/19000062755-aha-bha-pha-30-days-miracle-toner-mini,"['https://goldapple.ru/media/catalog/product/8/8/8809647390411_1_dd9i1jmy2o9rszdk.jpg', 'https://goldapple.ru/media/catalog/product/8/8/8809647390411_2_qmfnm53vcaww5rct.jpg', 'https://goldapple.ru/media/catalog/product/8/8/8809647390411_3_fvqekc2bdb1hpzk6.jpg']",simple,30,19000062755,216350,,True,False,"Кислотный очищающий тонер для проблемной кожи обновляет, успокаивает и восстанавливает кожу. Помогает в борьбе с несовершенствами, выравнивает тон и рельеф кожи. Содержит AHA, BHA и PHA-кислоты, экстракты гамамелиса, папайи, лотоса, семян чечевицы, ласточкиного гнезда, масло чайного дерева. Устраняет ороговевшие клетки кожи и размягчает сальные пробки. Тонер очищает кожу от загрязнений, отшелушивает.",Способ применения: нанесите немного тоника на заранее очищенную кожу и распределите с помощью ватного диска или легкими похлопывающими движениями.,"Water, Butylene Glycol, Dipropylene Glycol, Glycerin, Niacinamide, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Polyglyceryl-4 Caprate, Carica Papaya (Papaya) Fruit Extract, Lens Esculenta (Lentil) Seed Extract, Hamamelis Virginiana (Witch Hazel) Extract, Nelumbo Nucifera Flower Extract, Swiftlet Nest Extract, Sodium Hyaluronate, Fructan, Allantoin, Adenosine, Hydroxyethyl Urea, Xylitol, Salicylic Acid, Lactobionic Acid, Citric Acid, Sodium Citrate, 1,2-Hexanediol, Pentylene Glycol, Caprylyl Glycol, Benzyl Glycol, Ethylhexylglycerin, Ethyl Hexanediol, Raspberry Ketone, Phenoxyethanol, Mentha Piperita (Peppermint) Oil",ini-formaty,тревел-форматы
107007,10015-14019300003,Natural lip perfector ,Clarins,standard,Блеск для губ,Женский,,,Франция,2300,,2300,Блеск для губ,https://goldapple.ru/10015-14019300003-eclat-minute,"['https://goldapple.ru/media/catalog/product/3/3/3380810346367_1.png_jj3djhyof3ep5kp3.jpg', 'https://goldapple.ru/media/catalog/product/3/3/3380810346367_2_4vde1hp7n1dgbmil.jpg', 'https://goldapple.ru/media/catalog/product/3/3/3380810346367_3_2301zrkei3k7izvk.jpg']",configurable,12,14019300003,39626,,False,False,Блеск Natural lip perfector от,Используйте в качестве самостоятельного средства или наносите поверх губной помады для придания ей нежного сияния.,"PARAFFINUM LIQUIDUM/MINERAL OIL/HUILE MINERALE, DIISOSTEARYL MALATE, HYDROGENATED STYRENE/ISOPRENE COPOLYMER, PARAFFIN, BUTYROSPERMUM PARKII (SHEA) BUTTER, DIPENTAERYTHRITYL TETRAHYDROXYSTEARATE/TETRAISOSTEARATE, POLYETHYLENE, HYDROGENATED POLYISOBUTENE, OCTYLDODECANOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, SYNTHETIC WAX, NYLON-12, BUTYROSPERMUM PARKII (SHEA) BUTTER UNSAPONIFIABLES, IRVINGIA GABONENSIS KERNEL BUTTER, ETHYLHEXYL PALMITATE, PARFUM/FRAGRANCE, HYDROGENATED COCO-GLYCERIDES, HYDROGENATED MICROCRYSTALLINE WAX, CETYL PEG/PPG-10/1 DIMETHICONE, HEXYL LAURATE, POLYGLYCERYL-4 ISOSTEARATE, ORYZANOL, TRIBEHENIN, CI 45380/RED 22 LAKE, AMMONIUM GLYCYRRHIZATE, TOCOPHERYL ACETATE, SORBITAN ISOSTEARATE, TRIETHOXYCAPRYLYLSILANE, ISOPROPYL TITANIUM TRIISOSTEARATE, LACTIC ACID, PALMITOYL TRIPEPTIDE-1, BHT, TOCOPHEROL+/- MAY CONTAIN/PEUT CONTENIR: MICA, TIN OXIDE, SILICA, CALCIUM ALUMINUM BOROSILICATE, CALCIUM SODIUM BOROSILICATE, SYNTHETIC FLUORPHLOGOPITE, CI 77891/TITANIUM DIOXIDE, CI 77491/CI 77492/CI 77499/IRON OXIDES, CI 15850/RED 6/RED 6 LAKE/RED 7/RED 7 LAKE, CI 15985/YELLOW 6 LAKE, CI 42090/BLUE 1 LAKE/BLUE 1, CI 75470/CARMINE, CI 19140/ YELLOW 5/ YELLOW 5 LAKE, CI 45410/RED 27/RED 27 LAKE/RED 28/RED 28 LAKE, CI 73360/RED 30 LAKE, CI 17200/RED 33 LAKE, CI 45380/RED 21/RED 22 LAKE, CI 77742/MANGANESE VIOLET, [M1326E2]",makijazh,макияж
162274,19000005498,№6 ,SVEJO,standard,Автопарфюм,Унисекс,,,Россия,400,,400,Парфюмированный ароматизатор (флакон в коробке),https://goldapple.ru/19000005498-no6,"['https://goldapple.ru/media/catalog/product/4/6/4603785776052_1_mnsyiytjxawioloq.jpg', 'https://goldapple.ru/media/catalog/product/4/6/4603785776052_2_z54xkswwfeyv5bh7.jpg', 'https://goldapple.ru/media/catalog/product/4/6/4603785776052_3_30vtln5lymgy1j3u.jpg']",simple,5,19000005498,162274,,False,False,"Кокос, лайм, сандал и амбра в яркой фруктовой композиции! Ароматизатор наполнит любое атмосферу приятным звучанием фруктовых и цитрусовых нот.",Извлеките ароматизатор из упаковки и поместите в удобном для вас месте. Картонные ароматизаторы можно положить на полку шкафа или в выдвижной ящик комода. Ароматизаторы во флаконе подойдут для больших помещений или салона автомобиля.,Парфюмерная композиция на основе французских масел,parfjumerija,парфюмерия
162046,19000007007, Luxe Эксклюзив Летучий голландец,Luxe,standard,Презервативы,Унисекс,,,Китай,199,,199,Стимулирующий презерватив,https://goldapple.ru/19000007007-exclusive-letucij-golandec,"['https://goldapple.ru/media/catalog/product/6/9/adultonly-6934439713146_1_4pf1yu9vmucfoy2s.jpg', 'https://goldapple.ru/media/catalog/product/6/9/adultonly-6934439713146_2_u8gjp4iyyexryj1z.jpg', 'https://goldapple.ru/media/catalog/product/6/9/adultonly-6934439713146_3_151qlwicrzrvswce.jpg']",simple,1,19000007007,162046,,False,False,Презерватив «,"При вскрытии упаковки не применяйте острые предметы. Откройте упаковку, извлеките презерватив. Надевайте презерватив на половой член до начала полового акта. Сожмите накопитель двумя пальцами, т.к. оставшийся воздух в резервуаре может стать причной разрыва презерватива. Расправьте презерватив до основания полового члена.После эякуляции аккуратно снимите презерватив. Сверните использованный презерватив и поместите в емкость для отходов. При необходимости используйте смазку на водной основе. Никакое из средств контрацепции не гарантирует 100% защиты от нежелательной беременности или ЗППП. Только для одноразового использования.",натуральный латекс,zdorov-e-i-apteka,здоровье и аптека
206953,19000052850,FUSION POWER,Gillette,standard,Кассеты,Мужской,Для бритья,Лицо,США,2104,,2104,сменные кассеты для бритв 6 шт,https://goldapple.ru/19000052850-fusion-power,['https://goldapple.ru/media/catalog/product/7/7/7702018509928_1.jpeg_q1zowxbzteouiot7.jpg'],simple,6,19000052850,206953,,False,False,Сменные кассеты для мужской бритвы,"Состав смазывающей полоски: PEG-115M, PEG-7M, PEG-100, Silica, Tocopheryl Acetate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tris(Di-T-Butyl)Phosphite, Aloe Barbadensis Leaf Juice, BHT, Vitis Vinifera (Grape) Seed Oil, Persea Gratissima (Avocado) Oil, Glycol","Более ста лет компания меняет бритье к лучшему. Со дня основания Gillette стремится к совершенству, используя все новые и новые технологии.",dlja-muzhchin,для мужчин
